Strategy,Cumulative Return,Max Drawdown,Annualized Sharpe,Annualized Turnover
UBH,2.839789263752036,0.470979480744372,0.8579843776061539,0.0
MVO,1.4433985145544725,0.5694881082563028,0.5924994250996348,0.0
MLP-RL,1.926900705060664,0.45202582248539264,0.8228987918528748,20.78519430756569
LSTM-RL,1.531854299617034,0.44823982464487194,0.7105878219518014,4.415472127497196
